2024.11.05 08:22:46 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:46 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:46 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:46 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:46 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:46 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:47 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:47 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:47 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:47 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:47 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:47 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:48 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:48 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:48 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:50 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:50 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:50 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:50 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:50 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:51 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:51 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:51 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:51 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:51 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:54 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:54 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:22:55 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:23:16 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:23:18 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:23:18 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:23:18 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
2024.11.05 08:23:18 INFO  no build target found for C:\Users\Karol\Documents\Programacion F\taller2-pfc\app\src\main\scala\taller\ConjuntosDifusos.scala. Using presentation compiler with project's scala-library version: 3.3.4
